ADMS UQ Equity,Adamas Pharmaceuticals Inc
ADNC UW Equity,Audience Inc
ADNT UN Equity,Adient PLC
ADP UW Equity,Automatic Data Processing Inc
ADPT UW Equity,Adaptive Biotechnologies Corp
ADPTQ UN Equity,Adeptus Health Inc
ADRO UW Equity,Aduro Biotech Inc
ADS UN Equity,Alliance Data Systems Corp
ADSK UW Equity,Autodesk Inc
ADSW UN Equity,Advanced Disposal Services Inc
ADT UN Equity,ADT Inc
ADTN UW Equity,ADTRAN Inc
ADUS UW Equity,Addus HomeCare Corp
ADVM UQ Equity,Adverum Biotechnologies Inc
ADVS UW Equity,Advent Software Inc
ADXS UR Equity,Advaxis Inc
ADXS UW Equity,Advaxis Inc
AE UA Equity,Adams Resources & Energy Inc
AEC UN Equity,Associated Estates Realty Corp
AEE UN Equity,Ameren Corp
AEGN UW Equity,Aegion Corp
AEGR UW Equity,Aegerion Pharmaceuticals Inc
AEIS UW Equity,Advanced Energy Industries Inc
AEL UN Equity,American Equity Investment Life Holding
AEO UN Equity,American Eagle Outfitters Inc
AEP UN Equity,American Electric Power Co Inc
AEPI UW Equity,AEP Industries Inc
AERI UQ Equity,Aerie Pharmaceuticals Inc
AES UN Equity,AES Corp/The
AET UN Equity,Aetna Inc
AF UN Equity,Astoria Financial Corp
AFAM UW Equity,Almost Family Inc
AFFX UW Equity,Affymetrix Inc
AFG UN Equity,American Financial Group Inc/OH
AFH UQ Equity,Atlas Financial Holdings Inc
AFH UR Equity,Atlas Financial Holdings Inc
AFI UN Equity,Armstrong Flooring Inc
AFIN UW Equity,American Finance Trust Inc
AFL UN Equity,Aflac Inc
AFMD UQ Equity,Affimed NV
AFOP UQ Equity,Alliance Fiber Optic Products Inc
AFSI UW Equity,AmTrust Financial Services Inc
AGCO UN Equity,AGCO Corp
AGE UA Equity,AgeX Therapeutics Inc
AGEN UR Equity,Agenus Inc
AGFS UW Equity,AgroFresh Solutions Inc
AGIO UW Equity,Agios Pharmaceuticals Inc
AGLE UQ Equity,Aeglea BioTherapeutics Inc
AGM UN Equity,Federal Agricultural Mortgage Corp
AGN UN Equity,Allergan PLC
AGNC UW Equity,AGNC Investment Corp
AGO UN Equity,Assured Guaranty Ltd
AGR UN Equity,Avangrid Inc
AGRX UQ Equity,Agile Therapeutics Inc
AGRX UR Equity,Agile Therapeutics Inc
AGS UN Equity,PlayAGS Inc
AGTC UQ Equity,Applied Genetic Technologies Corp/DE
AGX UN Equity,Argan Inc
AGYS UW Equity,Agilysys Inc
AHC UN Equity,A H Belo Corp
AHCO UR Equity,AdaptHealth Corp
AHH UN Equity,Armada Hoffler Properties Inc
AHL UN Equity,Aspen Insurance Holdings Ltd
AHT UN Equity,Ashford Hospitality Trust Inc
AI UN Equity,Arlington Asset Investment Corp
AIG UN Equity,American International Group Inc
AIMC UW Equity,Altra Industrial Motion Corp
AIMT UW Equity,Aimmune Therapeutics Inc
AIN UN Equity,Albany International Corp
AINC UA Equity,Ashford Inc
AIR UN Equity,AAR Corp
AIRG UR Equity,Airgain Inc
AIRM UW Equity,Air Methods Corp
AIT UN Equity,Applied Industrial Technologies Inc
AIV UN Equity,Apartment Investment and Management Co
AIZ UN Equity,Assurant Inc
AJG UN Equity,Arthur J Gallagher & Co
AJRD UN Equity,Aerojet Rocketdyne Holdings Inc
AJX UN Equity,Great Ajax Corp
AKAM UW Equity,Akamai Technologies Inc
AKAOQ UQ Equity,Achaogen Inc
AKBA UQ Equity,Akebia Therapeutics Inc
AKCA UW Equity,Akcea Therapeutics Inc
AKR UN Equity,Acadia Realty Trust
AKRO UW Equity,Akero Therapeutics Inc
AKRXQ UW Equity,Akorn Inc
AKS UN Equity,AK Steel Holding Corp
AKTS UR Equity,Akoustis Technologies Inc
AL UN Equity,Air Lease Corp
ALB UN Equity,Albemarle Corp
ALBO UR Equity,Albireo Pharma Inc
ALCO UW Equity,Alico Inc
ALDR UQ Equity,Alder Biopharmaceuticals Inc
ALDX UR Equity,Aldeyra Therapeutics Inc
ALE UN Equity,ALLETE Inc
ALEC UW Equity,Alector Inc
ALEX UN Equity,Alexander & Baldwin Inc
ALG UN Equity,Alamo Group Inc
